ID,Family,SubFamily,Genus,Species_Prep,Sex,Age,bodymass(g),head-body(mm),tail (mm),ear (mm),hindfoot (mm),GLS,CI,Zyg,Brain,Height,UTRL,m1-m3,m3-m3,Mand,LTR,Mm1-m3
ZWW144,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,M,Adult,19,90,75,19,18,23.5,22.3,,12.3,8,9.7,3.5,5.1,14,8.2,3.3
ETH0400,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,sub [MC+],16,82,67,15.7,14.4,,,,,,,,,,,
ETH0501,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,13.2,72.1,58,14.8,14.1,,,,,,,,,,,
ETH0600,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,F,sub,11.3,76,63,14.6,13.4,,,,,,,,,,,
ETH1314,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A-,19.5,88,86,20.4,17.4,,,,,,,,,,,
ETH1315,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A/sub,17,82,60,17,13.2,,,,,,,,,,,
ETH1341,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A+,20,84,65,16.4,14.1,,,,,,,,,,,
CMR01,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR06,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR17,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR19,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR21,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR5,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CRT682,Gliridae,Graphiurinae,Graphiurus,MOTU12 A,,,,,,,,,,,,,,,,,,
Denys21,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
ETH1594,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
FMNH202879,Gliridae,Graphiurinae,Graphiurus,MOTU12 A,,,,,,,,,,,,,,,,,,
LAV2521,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,,,,,,,,,,,,,,,,,,
LAV2597,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,,,,,,,,,,,,,,,,,,
MET2586,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
N4236,Gliridae,Graphiurinae,Graphiurus,MOTU12 E,,,,,,,,,,,,,,,,,,
RTE127,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
MOZ210,Gliridae,Graphiurinae,Graphiurus,MOTU13,,,21.5,90,60,15,17.1,,,,,,,,,,,
FMNH183735,Gliridae,Graphiurinae,Graphiurus,MOTU13,,,,,,,,,,,,,,,,,,
AMNH55739,Gliridae,Graphiurinae,Graphiurus,MOTU14,,,,,,,,,,,,,,,,,,
PT2016x29,Gliridae,Graphiurinae,Graphiurus,MOTU14,,,,,,,,,,,,,,,,,,
DQ652185,Gliridae,Graphiurinae,Graphiurus,MOTU15,,,,,,,,,,,,,,,,,,
FMNH190300,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190301,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190302,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190303,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190304,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190305,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190306,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190307,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190308,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190632,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190633,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH216964,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
KEN20150165,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,39.9,110,137,17,23,,,,,,,,,,,
KEN20150306,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,26.7,101,93,17,20,,,,,,,,,,,
KEN20150349,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,16.1,85,80,13,17.5,,,,,,,,,,,
KEN20150390,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,16.8,89,76,,17,,,,,,,,,,,
KEN20150749,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,19.5,87,84,16,18,,,,,,,,,,,
KEN20150834,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,18.9,81,88,15,17,,,,,,,,,,,
KEN20150937,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,22.3,91,75,15.5,15,,,,,,,,,,,
KEN20150997,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,25.4,92,62,15,16,,,,,,,,,,,
KEN20151040,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,18.1,87,72,15,16,,,,,,,,,,,
KEN20151041,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,14.7,83,66,14.5,17,,,,,,,,,,,
KEN20151042,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,24.3,97,38,15.5,18,,,,,,,,,,,
KEN20151092,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,28,102,70,15.5,17,,,,,,,,,,,
KEN20151101,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,19.4,83,72,15,17,,,,,,,,,,,
KEN20151327,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,17.4,90,89,,17,,,,,,,,,,,
KEN20151471,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,17.6,90,72,14,16,,,,,,,,,,,
KEN20151483,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,15.7,87,76,15.5,17,,,,,,,,,,,
ANG0121,Gliridae,Graphiurinae,Graphiurus,MOTU17,M,juv,15,86,76,17.7,15.6,,,,,,,,,,,
ANG0122,Gliridae,Graphiurinae,Graphiurus,MOTU17,F,A,17,72.4,,14.7,17.1,,,,,,,,,,,
Bulembu06,Gliridae,Graphiurinae,Graphiurus,MOTU18,,,,,,,,,,,,,,,,,,
Bulembu07,Gliridae,Graphiurinae,Graphiurus,MOTU18,,,,,,,,,,,,,,,,,,
Bulembu08,Gliridae,Graphiurinae,Graphiurus,MOTU18,,,,,,,,,,,,,,,,,,
Bulembu20,Gliridae,Graphiurinae,Graphiurus,MOTU18,,,,,,,,,,,,,,,,,,
Bulembu25,Gliridae,Graphiurinae,Graphiurus,MOTU18,,,,,,,,,,,,,,,,,,
AJ225115,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
AJ225115D,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH138128,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH138129,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH138133,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH145224,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH145225,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH149344,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH149346,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH149348,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH149349,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH157821,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH160968,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH173463,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH173464,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH189124,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH189295,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH189297,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH211371,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
NNP660,Gliridae,Graphiurinae,Graphiurus,MOTU19,,,,,,,,,,,,,,,,,,
FMNH157986,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH160972,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH195179,Gliridae,Graphiurinae,Graphiurus,MOTU20 B,,,,,,,,,,,,,,,,,,
FMNH207677,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH212143,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH212144,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH212348,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH212349,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
FMNH228005,Gliridae,Graphiurinae,Graphiurus,MOTU20 B,,,,,,,,,,,,,,,,,,
FMNH228072,Gliridae,Graphiurinae,Graphiurus,MOTU20 B,,,,,,,,,,,,,,,,,,
FMNH228073,Gliridae,Graphiurinae,Graphiurus,MOTU20 B,,,,,,,,,,,,,,,,,,
UGA1149,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
UGA1152,Gliridae,Graphiurinae,Graphiurus,MOTU20 A,,,,,,,,,,,,,,,,,,
TZ27993,Gliridae,Graphiurinae,Graphiurus,MOTU21 D,,A- T(6x3),18,88,73,17.3,14.2,,,,,,,,,,,
FMNH150365,Gliridae,Graphiurinae,Graphiurus,MOTU21 A,,,,,,,,,,,,,,,,,,
FMNH151363,Gliridae,Graphiurinae,Graphiurus,MOTU21 A,,,,,,,,,,,,,,,,,,
FMNH158571,Gliridae,Graphiurinae,Graphiurus,MOTU21 C,,,,,,,,,,,,,,,,,,
FMNH196193,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196196,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196201,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196202,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196642,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196647,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
FMNH196648,Gliridae,Graphiurinae,Graphiurus,MOTU21 B,,,,,,,,,,,,,,,,,,
KEN20160011,Gliridae,Graphiurinae,Graphiurus,MOTU21 A,Female,,13,81,70,13,17,,,,,,,,,,,
MN066290,Gliridae,Graphiurinae,Graphiurus,MOTU21 D,,,,,,,,,,,,,,,,,,
ETH0114,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,? ut 1mm,18.9,90.5,90,15.2,12.8,,,,,,,,,,,
ETH0658,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,16,83,71,15.2,14.6,,,,,,,,,,,
KE118,Gliridae,Graphiurinae,Graphiurus,MOTU22 B,,A+ E? [MC+?],18.5,88,77,17.1,19.6,,,,,,,,,,,
CMAD5,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
ETH1565,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
ETH3039,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
ETH6088,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
LAV3083,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass002,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass015,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass017,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass018,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass023,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass024,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass110,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass127,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass134,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass210,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass240,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass330,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
Tomass410,Gliridae,Graphiurinae,Graphiurus,MOTU22 A,,,,,,,,,,,,,,,,,,
JS027,Gliridae,Graphiurinae,Graphiurus,MOTU23,,A- [sub/A?],16,84,61,15,14.4,,,,,,,,,,,
JS140,Gliridae,Graphiurinae,Graphiurus,MOTU23,,A-,23.5,93,33,16.6,15,,,,,,,,,,,
RS0860,Gliridae,Graphiurinae,Graphiurus,MOTU23,,"A- T(7,2x3,1)",22,82,73,15.5,15.2,,,,,,,,,,,
ZAM09ZRD30,Gliridae,Graphiurinae,Graphiurus,MOTU23,,,,,,,,,,,,,,,,,,
ETH0708,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A+,21.3,95,70,17.6,15,,,,,,,,,,,
KE176,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A-,17,89,73,16.9,15.4,,,,,,,,,,,
KE194,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A-,18.5,88,70,16,15.7,,,,,,,,,,,
KE195,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A- [sub/A?],15,74,68,15.7,13,,,,,,,,,,,
KE306,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"sub T(3x1,6)",13,75,67,16.6,13.8,,,,,,,,,,,
KE307,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"sub T(4x1,5)",15,76,71,16.6,15,,,,,,,,,,,
KE311,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A± T(10x4,3)",19,88,76,16.5,14.6,,,,,,,,,,,
KE692,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,F ,A+,21,92,54,15.5,15.3,,,,,,,,,,,
KE756,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A+ T(12x7),22,93,71.5,15.9,14.2,,,,,,,,,,,
TA388,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,sub,14.5,86,,16.6,16.1,,,,,,,,,,,
TA463,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A-,20,85,67,16.6,14,,,,,,,,,,,
TZ27578,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A+ T(10x6);vs+,22,93,72,15.8,15.1,,,,,,,,,,,
TZ27579,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A+ T(11x6);vs+,25,95,66,16.6,13.9,,,,,,,,,,,
TZ27580,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,juv mc0,,72,55,15.9,13.2,,,,,,,,,,,
TZ27609,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A-,18,84,65,16.3,14.1,,,,,,,,,,,
TZ27610,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A+ E(2,1);21mm",27,93,67,16.4,14.2,,,,,,,,,,,
TZ27870,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A+ E(2,1);20mm",20,85,74,13.3,13,,,,,,,,,,,
TZ27946,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A/sub,16,86,61,16.1,15.2,,,,,,,,,,,
TZ27947,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A/sub,16.5,80,71,15,14.2,,,,,,,,,,,
TZ27948,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A- T(5,5x2)",18.5,86,67,17.2,15.9,,,,,,,,,,,
TZ27949,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A- T(6x3),17,81,66,20.2,13.2,,,,,,,,,,,
TZ27950,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,A-,17,82,74,16.5,16,,,,,,,,,,,
TZ28227,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,25,90.8,64.2,15.8,14.4,,,,,,,,,,,
TZ28230,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,19,84,74,16.4,14,,,,,,,,,,,
TZ28231,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A+ E(3,0);8mm",27.5,88.7,70.1,16.4,14.7,,,,,,,,,,,
TZ28241,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,"A+ E(1,2);9mm",20,87,63.7,15.3,13.3,,,,,,,,,,,
TZ29797,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,F,SH,17,84,76,18,14.6,,,,,,,,,,,
FMNH158120,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH161405,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH168417,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH171714,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH173465,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH173466,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH174386,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH174387,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH187207,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH187214,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH187215,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH187271,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH189293,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH189294,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH189296,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH210349,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH210350,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH210351,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH211135,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH211368,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH211369,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH211370,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH211372,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH215079,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
